url,average_commit_time (ms),average_image_gathering_time (ms),average_num_layers_drawn (),average_num_missing_tiles (),dom_content_loaded_time (seconds),dropped_percent (%),first_paint (ms),load_time (seconds),mean_frame_time (ms),percent_impl_scrolled (%),texture_upload_count (count),total_deferred_image_decode_count (count),total_deferred_image_decoding_time (seconds),total_image_cache_hit_count (count),total_texture_upload_time (seconds)
v1.0.0/alert.html,0,0,0.0,0.0,0.23,0.0,454.0,0.343,8.594,0.0,0,0,0,0,0
v1.1.0/alert.html,0,0,0.0,0.0,0.074,0.0,178.0,0.167,8.594,0.0,0,0,0,0,0
v1.1.1/alert.html,0,0,0.0,0.0,0.076,0.0,175.0,0.165,8.6,0.0,0,0,0,0,0
v1.2.0/alert.html,0,0,0.0,0.0,0.075,0.0,116.0,0.108,8.499,0.0,0,0,0,0,0
v1.3.0/alert.html,0,0,0.0,0.0,0.083,0.0,145.0,0.132,8.603,0.0,0,0,0,0,0
v1.4.0/alert.html,0,0,0.0,0.0,0.084,0.0,150.0,0.14,8.63,0.0,0,0,0,0,0
v2.0.0/alert.html,0,0,0.0,0.0,0.09,0.0,168.0,0.152,8.567,0.0,0,0,0,0,0
v2.0.1/alert.html,0,0,0.0,0.0,0.098,0.0,172.0,0.162,8.45,0.0,0,0,0,0,0
v2.0.2/alert.html,0,0,0.0,0.0,0.1,0.0,172.0,0.163,8.441,0.0,0,0,0,0,0
v2.0.3/alert.html,0,0,0.0,0.0,0.102,0.0,186.0,0.177,8.459,0.0,0,0,0,0,0
v2.0.4/alert.html,0,0,0.0,0.0,0.098,0.0,175.0,0.166,8.609,0.0,0,0,0,0,0
v2.1.0/alert.html,0,0,0.0,0.0,0.098,0.0,185.0,0.167,8.612,0.0,0,0,0,0,0
v2.1.1/alert.html,0,0,0.0,0.0,0.167,0.0,259.0,0.232,8.571,0.0,0,0,0,0,0
v2.2.0/alert.html,0,0,0.0,0.0,0.096,0.0,178.0,0.168,8.488,0.0,0,0,0,0,0
v2.2.1/alert.html,0,0,0.0,0.0,0.107,0.0,180.0,0.169,8.561,0.0,0,0,0,0,0
v2.2.2/alert.html,0,0,0.0,0.0,0.121,0.0,189.0,0.179,8.623,0.0,0,0,0,0,0
v2.3.0/alert.html,0,0,0.0,0.0,0.107,0.0,186.0,0.173,8.577,0.0,0,0,0,0,0
v2.3.1/alert.html,0,0,0.0,0.0,0.104,0.0,178.0,0.168,8.541,0.0,0,0,0,0,0
v2.3.2/alert.html,0,0,0.0,0.0,0.109,0.0,184.0,0.173,8.572,0.0,0,0,0,0,0
v3.0.0-rc.2/alert.html,0,0,0.0,0.0,0.088,0.0,152.0,0.142,8.663,0.0,0,0,0,0,0
v3.0.0-rc1/alert.html,0,0,0.0,0.0,0.088,0.0,164.0,0.153,8.447,0.0,0,0,0,0,0
v3.0.0-rcFinal/alert.html,0,0,0.0,0.0,0.088,0.0,146.0,0.138,8.481,0.0,0,0,0,0,0
v1.0.0/badges.html,0,0,0.0,0.0,0.049,0.0,77.0,0.069,8.67,0.0,0,0,0,0,0
